CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,failed_transactions_last_30_days,Churn Risk Probability,Churn Risk (%),Risk Tier
402,Germany,Female,85,6,137440.26198507135,2,1,1,47831.759330148554,1,4,0.95,95.0,High Risk
735,Spain,Female,25,10,97507.41039194314,1,0,0,124546.42727997382,1,6,0.96,96.0,High Risk
570,France,Male,90,2,16474.329363577566,2,1,0,58617.48124360958,0,2,0.12,12.0,Low Risk
406,Spain,Female,62,0,143566.45068171463,3,1,1,27067.837408712938,0,0,0.02,2.0,Low Risk
371,France,Male,34,6,198557.10014635307,3,1,1,49427.122873068896,0,2,0.04,4.0,Low Risk
320,France,Male,58,7,139050.90692277512,2,1,1,94590.92805821636,0,0,0.0,0.0,Low Risk
421,France,Female,26,4,69835.54103890665,3,0,0,183933.0823886436,0,0,0.0,0.0,Low Risk
766,Spain,Male,87,5,65957.25917110071,4,1,1,77806.89785846688,0,0,0.0,0.0,Low Risk
514,Germany,Female,41,2,59459.635234363595,4,0,0,11183.349894798932,0,0,0.02,2.0,Low Risk
630,France,Female,90,4,244907.9071109524,2,1,0,4763.346549036286,1,8,1.0,100.0,High Risk
758,France,Male,28,2,99804.88530708246,4,1,0,41982.02182911838,0,0,0.03,3.0,Low Risk
387,France,Male,52,1,79217.44091070931,4,0,1,10415.253348124064,0,0,0.01,1.0,Low Risk
672,Germany,Male,46,6,104617.01893631017,2,1,1,74232.16339670848,0,1,0.03,3.0,Low Risk
399,Spain,Female,25,9,28949.48162912106,2,1,1,76856.75192074057,0,0,0.0,0.0,Low Risk
430,Spain,Female,34,10,49004.882070874526,2,1,1,194428.43626215335,0,0,0.01,1.0,Low Risk
608,Spain,Male,88,6,127225.5354476408,4,1,0,61253.85284405568,0,0,0.01,1.0,Low Risk
643,Spain,Female,29,7,199711.7909905945,3,1,0,119790.83740334044,0,0,0.0,0.0,Low Risk
791,France,Female,67,0,219106.6725287141,1,1,1,163766.5524004529,0,1,0.02,2.0,Low Risk
713,Germany,Male,41,1,216496.19189590265,3,1,1,102609.44313662914,1,4,0.94,94.0,High Risk
685,France,Female,54,1,236187.7171059654,2,0,0,139317.31751806967,1,10,1.0,100.0,High Risk
491,Germany,Male,28,2,31442.88094454653,3,0,1,194878.02464231625,0,0,0.04,4.0,Low Risk
576,Spain,Male,76,6,10242.571085378431,1,0,0,64837.22330019498,0,0,0.0,0.0,Low Risk
460,Germany,Male,72,6,26432.80451236632,3,1,0,14851.373174112785,0,1,0.02,2.0,Low Risk
759,France,Female,44,6,150185.56333311278,2,0,1,86068.62700024432,0,2,0.07,7.0,Low Risk
613,France,Male,84,0,139029.74644414362,1,1,0,108131.30886137024,1,1,0.71,71.0,Medium Risk
321,Spain,Male,77,1,167802.51576757815,4,1,0,116001.48387308052,0,1,0.03,3.0,Low Risk
552,France,Male,19,7,92772.66010393215,3,0,0,147715.1352711578,0,0,0.0,0.0,Low Risk
774,France,Male,85,8,97897.20148782663,4,1,1,179618.02327508223,1,7,1.0,100.0,High Risk
358,Germany,Female,35,9,136393.77246456273,4,0,0,100038.05070833876,0,1,0.01,1.0,Low Risk
810,France,Male,37,6,19764.02835762692,1,0,1,28689.70687155456,0,0,0.0,0.0,Low Risk
775,Spain,Female,80,0,199968.0415340255,4,0,0,80687.6520830301,1,7,0.98,98.0,High Risk
489,Spain,Male,89,3,230713.8870244235,4,0,1,31082.32602258014,0,1,0.07,7.0,Low Risk
543,France,Female,19,9,96836.30018231994,3,1,0,36468.80803933741,0,2,0.02,2.0,Low Risk
804,Spain,Female,59,7,184893.10681557545,1,0,0,349.9274040019643,1,6,0.91,91.0,High Risk
430,Germany,Female,45,4,137208.6800692194,2,0,0,185943.13642532183,1,4,0.98,98.0,High Risk
784,Germany,Female,46,0,59002.14858209541,2,1,0,149054.52949574802,1,3,0.81,81.0,High Risk
320,France,Male,86,6,16949.447459021605,1,0,1,20064.206482164205,0,1,0.06,6.0,Low Risk
466,France,Male,45,5,61474.72767004136,4,1,0,184022.0862321196,0,1,0.06,6.0,Low Risk
573,Germany,Female,77,8,151226.53866108367,3,0,0,174072.96387021226,0,0,0.0,0.0,Low Risk
687,Spain,Female,22,3,10057.444006522892,4,0,1,181978.90465544324,0,2,0.1,10.0,Low Risk
615,France,Female,32,3,209047.682681138,2,1,0,19471.81536272289,0,2,0.02,2.0,Low Risk
313,France,Male,90,7,242576.5484114119,3,0,0,15987.820632046314,0,1,0.03,3.0,Low Risk
541,Spain,Female,49,3,20875.477985782847,1,0,1,13556.375391043017,0,0,0.01,1.0,Low Risk
645,France,Female,69,2,61674.48268108691,4,1,0,193384.7821899556,0,1,0.02,2.0,Low Risk
639,Spain,Male,54,6,168908.40386106112,4,0,1,132097.39510464214,0,0,0.0,0.0,Low Risk
391,Spain,Male,32,4,201520.0808562742,3,0,0,35604.63660886805,0,0,0.01,1.0,Low Risk
666,Spain,Male,58,8,86498.52292192417,4,1,1,185832.6054771387,0,0,0.0,0.0,Low Risk
754,Spain,Male,21,4,128809.60758161447,1,0,0,88638.57629533437,0,1,0.02,2.0,Low Risk
727,Spain,Male,70,8,222939.8507407356,3,1,1,157091.54084504602,1,3,0.95,95.0,High Risk
808,Germany,Male,44,5,96099.58548734905,1,1,1,127241.28500666142,0,0,0.01,1.0,Low Risk
334,Spain,Female,38,5,20384.568365627325,1,0,1,129934.46245485202,0,0,0.01,1.0,Low Risk
505,Germany,Female,77,10,248723.53047391292,1,1,0,87951.43020429024,0,1,0.02,2.0,Low Risk
380,Spain,Male,81,5,45070.05136580405,1,0,0,78996.0975681687,1,8,1.0,100.0,High Risk
687,France,Female,88,6,12195.454399679838,4,1,1,32392.48573211803,0,0,0.01,1.0,Low Risk
301,Germany,Male,64,10,102663.3993541664,3,0,0,14165.43278531836,1,5,1.0,100.0,High Risk
689,France,Female,71,3,30365.88032335799,4,0,1,185599.02033668413,0,0,0.0,0.0,Low Risk
405,Spain,Male,48,3,244683.34610644903,2,1,1,187325.37336948648,0,0,0.0,0.0,Low Risk
776,Spain,Male,34,8,95198.46401556568,1,1,0,128263.1797628635,0,0,0.01,1.0,Low Risk
